brand,description,seller,rating,currency,value
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,5.0,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">9.510</span>"
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.531</span>"
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.331</span>"
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">5.831</span>"
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro Cor Grafite",Por Eshop ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.030</span>"
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">4.165</span>"
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">7.299</span>"
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">2.331</span>"
ACER,Notebook Acer Aspire 5 A15-51M-54E6 / Intel Core™ i5-13420H de 13ª Geração / 8GB / 512SSD / Windows 11 Home / 15.6” Full HD,Por Acer Brasil ,4.9,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.599</span>"
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,"<span class=""andes-money-amount__currency-symbol"" aria-hidden=""true"">R$</span>","<span class=""andes-money-amount__fraction"" aria-hidden=""true"">3.146</span>"
